======BFS trace======
19 19
18 19
17 19
16 19
15 19
14 19
13 19
12 19
11 19
8 18
7 18
6 18
5 17
4 16
3 15
2 14
2 13
3 13
4 10
4 9
4 8
3 7
2 6
1 5

=======DFS trace==========
19 19
18 18
17 17
16 16
15 15
14 15
14 16
15 17
16 18
17 19
17 20
16 20
15 19
14 18
13 19
12 19
11 19
8 18
7 17
6 16
5 15
4 15
3 15
2 14
1 13
1 12
2 12
3 13
4 10
3 11
2 10
1 9
1 8
2 8
3 8
4 8
4 7
3 6
2 5
1 5

====== Greedy BFS==========
19 19
18 18
17 17
16 16
15 15
14 15
14 16
14 17
13 19
12 19
11 19
8 18
7 17
6 16
5 15
4 15
3 15
2 14
1 13
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5

